ID,名称,形态,属性1,属性2,特性1,特性2,HP,集攻,集防,散攻,散防,俊敏
1,れいむ,普通,无,幻,倹約家,冷静沈着,65,55,55,50,55,50
1,れいむ,防御,无,幻,倹約家,冷静沈着,110,90,90,65,90,90
1,れいむ,力量,幻,斗,倹約家,自祓,85,125,85,75,85,70
2,まりさ,普通,光,雷,窃盗癖,収集癖,35,60,30,60,30,70
2,まりさ,速度,光,雷,窃盗癖,収集癖,60,75,70,110,70,135
2,まりさ,力量,光,暗,窃盗癖,収集癖,80,130,60,75,60,115
3,シンギョク,普通,无,NULL,抗体持ち,心頭滅却,50,35,65,50,65,30
3,シンギョク,辅助,无,NULL,抗体持ち,心頭滅却,75,50,75,80,180,45
3,シンギョク,防御,无,NULL,抗体持ち,心頭滅却,75,80,180,50,75,45
4,ユウゲンマガン,普通,毒,暗,早目,闇の衣,55,30,60,60,65,30
4,ユウゲンマガン,辅助,毒,暗,早目,好奇心,85,50,80,90,85,105
4,ユウゲンマガン,力量,毒,冥,早目,闇の衣,70,60,105,125,105,30
5,エリス,普通,暗,雷,浸透戦術,ネガティブオーラ,40,65,40,30,55,70
5,エリス,速度,暗,雷,浸透戦術,ネガティブオーラ,65,110,60,50,90,130
5,エリス,力量,暗,毒,浸透戦術,望遠,75,125,75,50,95,85
6,サリエル,普通,暗,NULL,天衣無縫,闇の力,45,70,40,70,45,60
6,サリエル,力量,暗,NULL,天衣無縫,闇の力,70,130,70,125,75,110
6,サリエル,防御,暗,光,天衣無縫,相反作用,100,95,95,75,130,85
7,みま,普通,冥,NULL,呪詛返し,理不尽,40,40,40,70,75,50
7,みま,防御,冥,NULL,呪詛返し,理不尽,65,85,70,110,130,80
7,みま,力量,冥,光,呪詛返し,癇癪持ち,75,135,70,85,105,70
8,キクリ,普通,幻,NULL,混乱誘発,共鳴,75,30,45,50,70,30
8,キクリ,防御,幻,NULL,混乱誘発,共鳴,130,50,80,50,120,65
8,キクリ,力量,幻,NULL,混乱誘発,治癒力,90,50,85,120,100,50
9,コンガラ,普通,钢铁,斗,堅牢なる鋼,剛健なる山吹,50,70,60,50,50,50
9,コンガラ,力量,钢铁,斗,堅牢なる鋼,剛健なる山吹,70,130,100,110,80,70
9,コンガラ,速度,钢铁,炎,堅牢なる鋼,砂塵旋風,70,125,90,90,90,115
10,りか,普通,钢铁,炎,不動の構え,メンテナンス,50,30,55,75,45,30
10,りか,速度,钢铁,炎,煙幕展開,メンテナンス,70,45,115,105,85,70
10,りか,力量,钢铁,雷,不動の構え,硬鋼之型,100,95,60,155,50,30
12,めいら,普通,钢铁,暗,強襲,アーマーパージ,55,65,45,25,50,65
12,めいら,力量,钢铁,暗,強襲,堅牢なる鋼,90,120,80,50,60,100
12,めいら,速度,钢铁,暗,負けず嫌い,アーマーパージ,90,110,75,40,60,125
14,エレン,普通,幻,NULL,陽の気質,ピースフル,40,40,50,70,40,50
14,エレン,力量,幻,NULL,陽の気質,投影,60,90,80,130,60,70
14,エレン,速度,幻,雷,陽の気質,エアクッション,60,50,50,115,95,120
15,ことひめ,普通,无,NULL,因果応報,自由奔放,45,30,50,50,60,55
15,ことひめ,辅助,无,NULL,因果応報,自由奔放,95,45,65,75,95,105
15,ことひめ,防御,无,NULL,因果応報,気分屋,45,50,135,70,135,45
16,カナ,普通,冥,音,攻め上手,早目,40,55,40,35,60,65
16,カナ,辅助,冥,音,好奇心,早目,70,85,60,50,100,115
16,カナ,力量,冥,幻,攻め上手,アップテンポ,70,120,65,45,85,95
17,りかこ,普通,钢铁,雷,洞察力,轟く刈安,35,40,40,75,45,65
17,りかこ,力量,钢铁,雷,洞察力,轟く刈安,65,70,60,130,90,100
17,りかこ,速度,钢铁,水,洞察力,逆巻く蒼,55,60,60,110,100,130
18,ちゆり,普通,雷,水,撹乱,収集癖,60,65,65,30,45,30
18,ちゆり,防御,雷,水,撹乱,冶金術,95,100,120,45,80,45
18,ちゆり,速度,雷,光,撹乱,不惜身命,75,125,65,65,55,100
19,ゆめみ,普通,光,水,疾風,強気,55,40,45,75,40,60
19,ゆめみ,力量,光,水,揺るがぬ心,強気,90,55,80,130,75,80
19,ゆめみ,速度,炎,雷,疾風,ポジティブ,80,55,70,125,80,110
20,ミミちゃん＆るーこと,普通,钢铁,NULL,反動相殺,不屈,60,50,50,10,50,20
20,ミミちゃん＆るーこと,辅助,钢铁,NULL,反動相殺,不屈,120,50,100,10,100,20
20,ミミちゃん＆るーこと,力量,钢铁,炎,反動相殺,不屈,40,140,65,10,65,80
21,オレンジ,普通,无,NULL,応急処置,持ち腐れ,120,5,5,55,80,10
21,オレンジ,防御,无,NULL,応急処置,幸運,250,5,5,75,130,10
21,オレンジ,力量,无,NULL,応急処置,下剋上,85,95,85,55,80,75
22,くるみ,普通,暗,NULL,不退転,奇襲戦法,35,35,30,70,40,65
22,くるみ,力量,暗,NULL,不退転,奇襲戦法,70,60,60,125,70,95
22,くるみ,辅助,暗,毒,不退転,気質発現「濃霧」,80,55,60,75,90,120
23,エリー,普通,钢铁,风,不退転,仁王立ち,60,70,60,30,35,30
23,エリー,力量,钢铁,风,不退転,仁王立ち,90,120,90,60,75,65
23,エリー,防御,钢铁,大地,不退転,仁王立ち,120,95,95,50,80,60
25,ゆうか,普通,自然,雷,理不尽,ピースフル,70,80,65,50,40,20
25,ゆうか,力量,自然,雷,理不尽,闇の力,100,140,100,90,60,45
25,ゆうか,防御,自然,大地,理不尽,後の先,95,115,185,55,45,40
26,むげつ,普通,幻,暗,闇の力,残虐,55,40,35,75,65,50
26,むげつ,力量,幻,暗,揺るがぬ心,残虐,90,60,75,125,105,70
26,むげつ,辅助,幻,NULL,闇の力,全天候型,120,50,90,75,115,75
27,げんげつ,普通,幻,光,洞察力,第六感,50,75,40,55,45,55
