地图ID,地图名,人形,等级,形态,概率,遇敌类型
1,人間の里,けいね,6,普通,18%,0
1,人間の里,せきばんき,6,普通,18%,0
1,人間の里,こすず,6,普通,10%,0
1,人間の里,あきゅう,6,普通,10%,0
1,人間の里,こころ,6,普通,4%,0
15,博麗神社裏山,サニー,48,力量,16%,0
15,博麗神社裏山,ルナ,48,力量,16%,0
15,博麗神社裏山,スター,48,力量,16%,0
15,博麗神社裏山,シンギョク,48,普通,8%,0
15,博麗神社裏山,れいむ,48,普通,4%,0
16,博麗神社裏山の洞窟,サラ,55,普通,5%,0
16,博麗神社裏山の洞窟,ゆうか,55,普通,5%,0
16,博麗神社裏山の洞窟,ひじり,55,普通,4%,0
16,博麗神社裏山の洞窟,れいむ,55,普通,3%,0
16,博麗神社裏山の洞窟,まりさ,55,普通,3%,0
16,博麗神社裏山の洞窟,みま,55,普通,3%,0
16,博麗神社裏山の洞窟,ユウゲンマガン,55,普通,3%,0
16,博麗神社裏山の洞窟,エリス,55,普通,3%,0
16,博麗神社裏山の洞窟,サリエル,55,普通,1%,0
40,迷いの竹林,かげろう,18,普通,18%,0
40,迷いの竹林,てゐ,18,普通,18%,0
40,迷いの竹林,ウドンゲ,18,普通,18%,0
40,迷いの竹林,もこう,18,普通,6%,0
40,迷いの竹林,てゐ,18,普通,21%,1
40,迷いの竹林,ウドンゲ,18,普通,21%,1
40,迷いの竹林,えいりん,18,普通,9%,1
40,迷いの竹林,かぐや,18,普通,9%,1
41,迷いの竹林,てゐ,19,普通,18%,0
41,迷いの竹林,ウドンゲ,19,普通,18%,0
41,迷いの竹林,ぎょくと,19,普通,18%,0
41,迷いの竹林,よりひめ,19,普通,3%,0
41,迷いの竹林,とよひめ,19,普通,3%,0
50,魔法の森,サニー,11,普通,18%,0
50,魔法の森,スター,11,普通,18%,0
50,魔法の森,ルナ,11,普通,18%,0
50,魔法の森,アリス,11,普通,6%,0
51,魔法の森,サニー,26,普通,15%,0
51,魔法の森,スター,26,普通,15%,0
51,魔法の森,ルナ,26,普通,15%,0
51,魔法の森,エレン,26,普通,12%,0
51,魔法の森,まりさ,26,普通,3%,0
52,魔法の森,ユキ,26,普通,16%,0
52,魔法の森,マイ,26,普通,16%,0
52,魔法の森,アリス,26,普通,12%,0
52,魔法の森,りかこ,26,普通,11%,0
52,魔法の森,まりさ,26,普通,5%,0
52,魔法の森,サニー,11,普通,18%,1
52,魔法の森,ルナ,11,普通,18%,1
52,魔法の森,スター,11,普通,18%,1
52,魔法の森,アリス,11,普通,6%,1
60,玄武の沢,にとり,25,普通,22%,0
60,玄武の沢,わかさぎひめ,25,普通,17%,0
60,玄武の沢,こまち,25,普通,13%,0
60,玄武の沢,いく,25,普通,8%,0
61,玄武の沢,にとり,25,普通,9%,0
61,玄武の沢,ひな,25,普通,6%,0
61,玄武の沢,キスメ,25,普通,6%,0
61,玄武の沢,ルーミア,25,普通,6%,0
61,玄武の沢,せいが,25,普通,3%,0
80,妖怪の山,しずは,28,普通,17%,0
80,妖怪の山,みのりこ,28,普通,17%,0
80,妖怪の山,もみじ,28,普通,12%,0
80,妖怪の山,あや,28,普通,7%,0
80,妖怪の山,はたて,28,普通,7%,0
81,妖怪の山,もみじ,28,普通,8%,0
81,妖怪の山,ひな,28,普通,8%,0
81,妖怪の山,にとり,28,普通,7%,0
81,妖怪の山,ヤマメ,28,普通,7%,0
90,妖怪の山,もみじ,30,普通,17%,0
90,妖怪の山,あや,30,普通,17%,0
90,妖怪の山,はたて,30,普通,17%,0
90,妖怪の山,てんし,30,普通,6%,0
90,妖怪の山,かせん,30,普通,3%,0
91,妖怪の山,もみじ,30,普通,8%,0
91,妖怪の山,ひな,30,普通,8%,0
91,妖怪の山,にとり,30,普通,7%,0
91,妖怪の山,ヤマメ,30,普通,7%,0
92,大蝦蟇の池,チルノ,70,防御,50%,0
92,大蝦蟇の池,すわこ,70,力量,10%,0
93,妖怪の山,まりさ,70,防御,16%,0
93,妖怪の山,しょう,70,防御,16%,0
93,妖怪の山,いく,70,防御,12%,0
93,妖怪の山,ときこ,60,防御,12%,0
93,妖怪の山,こころ,70,防御,4%,0
94,妖怪の山,こまち,70,防御,18%,0
94,妖怪の山,かせん,70,力量,18%,0
94,妖怪の山,みこ,70,防御,16%,0
94,妖怪の山,れいむ,70,防御,8%,0
110,山の廃村,ちぇん,30,普通,53%,0
110,山の廃村,らん,30,普通,7%,0
120,守矢神社,あや,29,普通,19%,0
120,守矢神社,はたて,29,普通,19%,0
120,守矢神社,さなえ,29,普通,12%,0
120,守矢神社,かなこ,29,普通,7%,0
120,守矢神社,すわこ,29,普通,3%,0
150,無縁塚,りんのすけ,27,普通,22%,1
150,無縁塚,れんこ,20,普通,12%,1
150,無縁塚,メリー,20,普通,12%,1
150,無縁塚,えいき,27,普通,10%,1
150,無縁塚,ゆかり,27,普通,4%,1
160,太陽の畑,リリカ,45,普通,7%,0
160,太陽の畑,メルラン,45,普通,7%,0
160,太陽の畑,ルナサ,45,普通,7%,0
160,太陽の畑,リグル,45,普通,7%,0
160,太陽の畑,ゆうか,45,普通,12%,0
160,太陽の畑,リリカ,45,力量,5%,0
160,太陽の畑,メルラン,45,防御,5%,0
160,太陽の畑,ルナサ,45,防御,5%,0
160,太陽の畑,リグル,45,力量,5%,0
170,鈴蘭畑,メディスン,42,普通,16%,0
170,鈴蘭畑,だいようせい,42,普通,11%,0
170,鈴蘭畑,ウドンゲ,42,普通,9%,0
170,鈴蘭畑,えいりん,42,普通,9%,0
170,鈴蘭畑,だいようせい,42,防御,5%,0
170,鈴蘭畑,ウドンゲ,42,防御,5%,0
170,鈴蘭畑,えいりん,42,防御,5%,0
180,命蓮寺,きょうこ,15,普通,14%,0
180,命蓮寺,ナズーリン,15,普通,14%,0
180,命蓮寺,いちりん＆うんざん,15,普通,13%,0
180,命蓮寺,むらさ,15,普通,10%,0
180,命蓮寺,しょう,15,普通,6%,0
180,命蓮寺,ひじり,15,普通,3%,0
181,命蓮寺裏墓地,こがさ,15,普通,22%,0
181,命蓮寺裏墓地,よしか,15,普通,19%,0
181,命蓮寺裏墓地,ようむ,15,普通,10%,0
181,命蓮寺裏墓地,ゆゆこ,15,普通,6%,0
181,命蓮寺裏墓地,みま,15,普通,3%,0
182,命蓮寺裏墓地洞窟,とじこ,16,普通,12%,0
182,命蓮寺裏墓地洞窟,せいが,16,普通,8%,0
182,命蓮寺裏墓地洞窟,ふと,16,普通,7%,0
182,命蓮寺裏墓地洞窟,みこ,16,普通,3%,0
210,八雲の隠れ家,ちぇん,70,力量,32%,0
210,八雲の隠れ家,らん,70,力量,14%,0
