名称,属性,威力,命中,SP,优先,分类,概率,效果
NULL,无,50,100%,15,0,集中,10%,★3ターン相手は同じスキルしか使えない
奮戦,无,0,100%,15,0,集中,10%,★毎ターンHPが少しずつ回復する
ジャストエイム,无,0,30%,8,0,集中,10%,☆固定ダメージ（このターン受けた集中ダメージの倍）
変幻自在,无,50,100%,15,0,集中,10%,★3ターン相手は同じスキルしか使えない
いたずら,无,0,90%,10,0,集中,10%,☆固定ダメージ（このターン受けた拡散ダメージの倍）
差引勘定,无,0,100%,5,0,集中,10%,☆固定ダメージ（このターン受けたスキルダメージの倍）
全身全霊,无,125,100%,5,0,集中,10%,★相手の集防2段低下
逆境根性,无,100,100%,5,0,集中,10%,★相手の集防2段低下
奥の手,无,140,100%,5,0,集中,10%,☆固定ダメージ（相手現在HPの半分）
不動心,无,130,100%,10,0,集中,10%,☆攻撃した後、交代する
オーバースキル,无,120,100%,15,0,集中,10%,★自分の集弾・集防1段上昇
スピリットラッシュ,无,120,100%,15,0,集中,10%,★相手を暗闇に
狂乱浄瑠璃,无,100,100%,20,0,集中,10%,★3ターン相手は同じスキルしか使えない
帰燕,无,80,100%,5,2,集中,10%,★3ターン相手は同じスキルしか使えない
逆境の一手,无,70,100%,20,0,集中,10%,☆2～3ターン同じ攻撃を続け、その後混乱
仇討,无,70,100%,5,0,集中,10%,★地相発現「青龍」
穿突,无,70,100%,20,0,集中,10%,☆なんらかの天候の時威力倍、成功した時天候解除
やぶれかぶれ,梦,50,-,35,0,集中,10%,NULL
十文字,无,50,90%,15,0,集中,10%,☆連続2～5回
急襲,无,40,100%,10,3,集中,100%,★相手を衰弱に
虎走り,无,40,100%,30,1,集中,10%,★3ターン相手は同じスキルしか使えない
影走り,无,30,100%,10,2,集中,10%,☆前のターンに自分の人形が倒されていると威力倍
弾幕乱舞,无,120,100%,10,0,扩散,10%,☆自分が装飾品を持っていない時のみ使用可能 相手を毒に
ボルトアタック,无,85,100%,15,0,扩散,30%,★毎ターンＨＰ1/16回復 交代できなくなる
トライエフェクト,无,80,100%,10,0,扩散,20%,★相手は同じスキルを連続で出せなくなる
デストラクション,无,70,100%,15,0,扩散,30%,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復
斉射,无,60,-,20,0,扩散,10%,★3ターン相手は同じスキルしか使えない
天神の加護,无,50,100%,10,0,扩散,10%,☆自分の持つスキルをすべて使うと使用可能
四神の加護,无,60,100%,10,0,扩散,10%,☆自分の集弾・散弾の代わりに相手の集弾・散弾でダメージ計算
乱射,无,25,100%,10,0,扩散,10%,★自分の集弾・俊敏1段上昇
やせ我慢,无,0,-,10,4,变化,-,☆相手のコストが高いほど威力が上がる
森羅結界,无,0,-,10,4,变化,-,☆自分の能力ランクが高いほど威力が上がる
バリアオプション,无,0,-,10,0,变化,-,★自分の集防・散防1段上昇
神降ろし,无,0,-,30,0,变化,-,★相手の集弾・散弾1段階低下させ、交代する
応急手当,无,0,-,15,0,变化,-,★自分の集弾・命中1段上昇
もったいない精神,无,0,-,10,0,变化,-,☆相手の集防・散防を入れ替えてダメージ計算
パワースポット,无,0,-,15,0,变化,-,☆相手の集防1段低下
無我の境地,无,0,-,10,0,变化,-,☆自分が装飾品を持っていない時威力倍
底力,无,0,-,10,0,变化,-,★相手の集防1段低下
カモフラージュ,无,0,-,20,0,变化,-,★相手の散弾1段低下
威風堂々,无,0,-,20,0,变化,-,★相手が最後に使ったスキルを4ターンの間 使えなくする
オフェンサートランス,无,0,-,15,0,变化,-,★自分の痛烈率2段上昇
臨戦,无,0,-,20,0,变化,-,★相手の散防1段低下
先読み,无,0,-,20,0,变化,-,☆相手を毒に　痛烈になりやすい
足止め,无,0,100%,30,0,变化,-,★自分と相手の現在HPを平均する
二段構え,无,0,-,40,0,变化,-,★自分の集防2段上昇
陰の気力,梦,55,100%,35,0,集中,10%,★3ターン相手は同じスキルしか使えない
