index,効果,対象,ID
0,★3ターン相手は同じスキルしか使えない,1,173
1,★3ターンの間 、相手は攻撃スキルしか出せなくなる,1,174
2,★4ターンの間 俊敏が倍に 場の効果,0,175
3,★5ターンの間 状態異常にかからなくなる。場の効果,0,176
4,★HPと状態異常を全快し、2ターンの間 停止状態になる,0,177
5,★毎ターンＨＰ1/16回復 交代できなくなる,0,178
6,★自分の能力ランクを引き継いで交代,0,61
7,★戦闘不能になるスキルを受けてもHP1で耐える。連続で出すと失敗しやすい,0,179
8,★変化スキル反射,0,180
9,★使ったターン スキルを防ぐ（防御結界）,0,167
10,★防御結界＋防いだスキルの威力が100以上の場合相手に1/8ダメージ,0,168
11,★ＨＰ1/4使ってバリア展開,0,59
12,★次の行動までに相手のスキルで倒れた場合 相手に999ダメージ,0,181
13,★吸収効果　自然属性に無効,1,182
14,★交代不可効果,1,183
15,★再生回復　そのターン風属性を失う,0,184
16,★最後に使われたスキルで相手に攻撃する,0,185
17,★最後に使用した装飾品を手にいれる。自分がすでに装飾品を持っている時は失敗,0,186
18,★次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復,0,187
19,★次のターン終了時に相手を停止状態に,1,188
20,★自分が停止状態でない時失敗。自分のスキルのうち1つをランダムで使う,0,151
21,★自分が瀕死になるかわりに次に出す人形の状態異常とHPとPPが全快する,0,189
22,★自分すべての人形の状態異常を治す,0,92
23,★自分と相手のアビリティを入れ替える,1,190
24,★自分と相手の現在HPを平均する,1,191
25,★自分と相手の集弾・散弾ランクを入れ替える,1,192
26,★自分と相手の集弾と散弾を平均する,1,193
27,★自分と相手の集防・散防ランクを入れ替える,1,194
28,★自分と相手の集防・散防を平均する,1,195
29,★自分と相手の人形の能力ランクを元に戻す,1,196
30,★自分と相手の装飾品を入れ替える,1,197
31,★自分と相手を破滅状態にする,0,198
32,★自分の5ステ+命中回避からランダムに2段上昇,0,84
33,★自分の5ステからランダムに1段上昇,0,85
34,★自分のHPを最大HPの半分減　自分の集弾を最大まで上昇,0,87
35,★自分のアビリティを相手と同じにする,0,199
36,★自分の回避1段上昇,0,79
37,★自分の回避2段上昇「カモフラージュ」,0,80
38,★自分の最大HPの50％回復,0,54
39,★自分の散弾・散防・俊敏1段上昇,0,66
40,★自分の散弾・散防1段上昇,0,67
41,★自分の散弾・俊敏1段上昇,0,68
42,★自分の散弾1段上昇,0,9
43,★自分の散弾2段上昇,0,41
44,★自分の散弾3段上昇,0,69
45,★自分の散防1段上昇,0,10
46,★自分の散防2段上昇,0,42
47,★自分の散防ランクを1段階上昇させる　次のターン自分の雷属性のスキルの威力倍　,0,200
48,★自分の集弾・散弾・俊敏2段上昇、集防・散防１段低下,0,70
49,★自分の集弾・散弾ランクを1段階上昇させる。晴れ時2段階,0,201
50,★自分の集弾・集防・命中1段上昇,0,82
51,★自分の集弾・集防1段上昇,0,72
52,★自分の集弾・集防1段上昇、俊敏１段低下,0,71
53,★自分の集弾・俊敏1段上昇,0,73
54,★自分の集弾・命中1段上昇,0,83
55,★自分の集弾1段、俊敏2段上昇,0,76
56,★自分の集弾1段上昇,0,7
57,★自分の集弾2段上昇,0,39
58,★自分の集弾と集防を入れ替える　ランクは変化しない,0,202
59,★自分の集防・散防1段上昇,0,74
60,★自分の集防1段上昇,0,8
61,★自分の集防2段上昇,0,40
62,★自分の集防3段上昇,0,75
63,★自分の俊敏1段上昇,0,11
64,★自分の俊敏2段上昇,0,43
65,★自分の場にＦバリア効果（相手の拡散スキル半減）,2,91
66,★自分の場にＦプロテクト効果（相手の集弾スキル半減）,2,90
67,★自分の状態異常を相手にうつし自分は回復する,1,203
68,★自分の属性を、自分の1番上のスキルと同じ属性に変える,0,204
69,★自分の属性を相手の属性と同じにする,0,205
70,★自分の痛烈率2段上昇,0,81
71,★自分は戦闘不能になる　相手の集弾・散弾2段低下,0,89
72,★状態変化1/4ダメージ,0,206
73,★相手が最後に使ったスキルを4ターンの間 使えなくする,1,207
74,★相手が使おうとしている攻撃スキルをダメージを1.5倍にして使う　後攻になると失敗,0,208
75,★相手が次の行動をするまで相手のスキルは雷属性になる,1,209
76,★相手のアビリティを活発にする,1,210
77,★相手のアビリティを自分と同じアビリティに変える,1,211
78,★相手のランク補正を自分にコピーする,0,212
79,★相手の最後に使ったスキルのSPを4減らす,1,213
80,★相手の散弾1段低下,1,14
81,★相手の散弾2段低下,1,46
82,★相手の散防1段低下,1,15
83,★相手の散防2段低下,1,47
84,★相手の集弾・散弾1段階低下させ、交代する,1,86
85,★相手の集弾1段低下,1,12
86,★相手の集弾2段低下,1,44
87,★相手の集防1段低下,1,13
88,★相手の集防2段低下,1,45
89,★相手の俊敏1段低下,1,16
90,★相手の俊敏2段低下,1,48
91,★相手の場にステルストラップを設置する,3,214
92,★相手の場にバインドトラップ効果,3,215
93,★相手の場にポイズントラップを設置する,3,216
94,★相手の場にマイントラップを設置する,3,217
95,★相手の能力ランクを反転させる,1,218
96,★相手は同じスキルを連続で出せなくなる,1,219
97,★相手を暗闇に,1,22
98,★相手を火傷・暗闇に,1,102
99,★相手を火傷に,1,21
100,★相手を怯み,1,223
101,★相手を恐怖・混乱に,1,103
102,★相手を恐怖に,1,23
103,★相手を混乱に,1,26
104,★相手を吹き飛ばす,3,57
105,★相手を水属性にする,1,220
106,★相手を衰弱に,1,101
107,★相手を大火傷に,1,28
108,★相手を停止に,1,25
109,★相手を毒に,1,20
110,★相手を麻痺・混乱に,1,104
111,★相手を麻痺に,1,24
112,★相手を無防備状態にする,1,221
113,★相手を猛毒に,1,27
114,★地相発現「玄武」,4,159
115,★地相発現「朱雀」,4,157
116,★地相発現「青龍」,4,156
117,★地相発現「白虎」,4,158
118,★天候発現「黄砂」,4,155
119,★天候発現「極光」,4,153
120,★天候発現「凪」,4,152
121,★天候発現「濃霧」,4,154
122,★毎ターンHPが少しずつ回復する,2,222
123,☆2～3ターン同じ攻撃を続け、その後混乱,1,150
124,☆4～5ターン拘束,1,149
125,☆5ターンの間 能力を下げられなくなる　自分の場,1,162
126,☆HP吸収与えたダメージの1/2,1,141
127,☆天候によって威力・属性変化,1,160
128,☆地相によって威力・属性変化,1,161
129,☆このターンに相手からダメージを受けていると威力倍,1,115
130,☆このターンに相手からダメージを受けていると失敗,1,109
131,☆なんらかの地相の時威力倍、成功した時地相解除,1,164
132,☆なんらかの天候の時威力倍、成功した時天候解除,1,163
133,☆まもる系解除,1,170
134,☆自分の最大HP1/3反動,1,1023
135,☆固定ダメージ（999）,1,138
136,☆外した時反動ダメージ1/2,1,124
137,☆痛烈になりやすい,1,19
138,☆固定ダメージ（このターン受けた集中ダメージの倍）,1,135
139,☆固定ダメージ（このターン受けた拡散ダメージの倍）,1,136
140,☆固定ダメージ（このターン受けたスキルダメージの倍）,1,137
141,☆固定ダメージ（自分のレベル）,1,133
142,☆固定ダメージ（自分の現在HP）自分は戦闘不能,1,134
143,☆固定ダメージ（相手現在HP-自分現在HP）,1,140
144,☆固定ダメージ（相手現在HPの半分）,1,139
145,☆攻撃した後、交代する,1,60
146,☆自分の場の設置物を吹き飛ばす,1,171
147,☆次のターン反動で動けない,1,50
148,☆自分が後攻の時威力倍,1,110
149,☆自分が状態異常の時威力倍　恐怖・暗闇無視,1,123
150,☆自分が装飾品を持っていない時のみ使用可能 相手を毒に,1,147
151,☆自分が装飾品を持っていない時威力倍,1,111
152,☆自分の5ステ1段上昇,1,63
153,☆自分の5ステからランダムに1段上昇,1,65
154,☆自分のコストが相手より高いほど威力が上がる,1,121
155,☆自分の現在HPが少ないほど威力が上がる,1,122
156,☆自分の現在ＨＰが多いほど威力が上がる,1,117
157,☆自分の散弾1段上昇,1,31
158,☆自分の散弾2段低下,1,56
159,☆自分の散防1段上昇,1,32
160,☆自分の持つスキルをすべて使うと使用可能,1,144
161,☆自分の集弾・散弾の代わりに相手の集弾・散弾でダメージ計算,1,129
162,☆自分の集弾・集防1段低下,1,62
163,☆自分の集弾1段上昇,1,29
164,☆自分の集防・散防1段低下,1,49
165,☆自分の集防1段上昇,1,30
166,☆自分の俊敏1段上昇,1,33
167,☆自分の能力ランクが高いほど威力が上がる,1,119
168,☆自分は戦闘不能になる　集防散防半減計算,1,88
169,☆自分を無防備に,1,127
