アイテムID,名称,値段,ジャンル,戦闘,通常,捨てる,装飾,転生,スキルID,説明文。
0,なし,0,255,0,0,0,0,0,0,NULL。
1,Item001,0,255,0,0,1,0,0,0,Item００１。
2,Item002,0,255,0,0,1,0,0,0,Item００２。
3,Item003,0,255,0,0,1,0,0,0,Item００３。
4,Item004,0,255,0,0,1,0,0,0,Item００４。
5,Item005,0,255,0,0,1,0,0,0,Item００５。
6,Item006,0,255,0,0,1,0,0,0,Item００６。
7,Item007,0,255,0,0,1,0,0,0,Item００７。
8,Item008,0,255,0,0,1,0,0,0,Item００８。
9,Item009,0,255,0,0,1,0,0,0,Item００９。
10,数珠,150,0,0,1,1,0,0,0,使い捨ての数珠。\n１００歩進む間人形を寄せ付けなくなる。
11,護符,250,0,0,1,1,0,0,0,使い捨ての護符。\n２００歩進む間人形を寄せ付けなくなる。
12,勾玉,350,0,0,1,1,0,0,0,使い捨ての勾玉。\n２５０歩進む間人形を寄せ付けなくなる。
13,Item013,0,255,0,0,1,0,0,0,Item０１３。
14,Item014,0,255,0,0,1,0,0,0,Item０１４。
15,Item015,0,255,0,0,1,0,0,0,Item０１５。
16,銅銭,400,0,0,0,1,0,0,0,貨幣としては使えない。\n安い値段で売れる。
17,時計,400,0,0,0,1,0,0,0,外の世界から流れ着いた時間を教えてくれる道具。\n安い値段で売れる。
18,Item018,0,255,0,0,1,0,0,0,Item０１８。
19,Item019,0,255,0,0,1,0,0,0,Item０１９。
20,砂金,1000,0,0,0,1,0,0,0,砂状の純金。\nそこそこの値段で売れる。\n怨霊は憑いていない。
21,真珠,1000,0,0,0,1,0,0,0,白色の宝石。\nそこそこの値段で売れる。
22,Item022,0,255,0,0,1,0,0,0,Item０２２。
23,Item023,0,255,0,0,1,0,0,0,Item０２３。
24,キノコの粉,3000,0,0,0,1,0,0,0,何に使うのかは不明。\n結構な値段で売れる。\n取扱注意。
25,魔導書,3000,0,0,0,1,0,0,0,何と書いてあるのかは不明。\n結構な値段で売れる。
26,二折携帯ゲーム機,6000,0,0,0,1,0,0,0,二つ折りの携帯ゲーム機。
27,二折携帯ゲーム機,6000,0,0,0,1,0,0,0,二つ折りの携帯ゲーム機。\n幻想郷では使えそうにないので 売って 帰れたら 買い直そう。
28,銀貨,10000,0,0,0,1,0,0,0,貨幣としては使えない。\n高額で売れる。
29,ビンテージワイン,10000,0,0,0,1,0,0,0,年代物のワイン。\n高額で売れる。
30,Item030,0,255,0,0,1,0,0,0,Item０３０。
31,Item031,0,255,0,0,1,0,0,0,Item０３１。
32,金貨,20000,0,0,0,1,0,0,0,貨幣としては使えない。\nかなり高額で売れる。
33,魔力の結晶,20000,0,0,0,1,0,0,0,魔力が長い時間を経て結晶化した物。\nかなり高額で売れる。
34,Item034,0,255,0,0,1,0,0,0,Item０３４。
35,Item035,0,255,0,0,1,0,0,0,Item０３５。
36,Item036,0,255,0,0,1,0,0,0,Item０３６。
37,魔力の欠片,400,0,0,0,1,0,0,0,結晶化した魔力の欠片。何かに使えそうだから とっておこう。
39,Item038,0,255,0,0,1,0,0,0,Item０３８。
39,Item039,0,255,0,0,1,0,0,0,Item０３９。
40,Item040,0,255,0,0,1,0,0,0,Item０４０。
41,Item041,0,255,0,0,1,0,0,0,Item０４１。
42,転生用印セット,0,0,0,0,1,0,0,0,Item０４２。
43,紅の印,0,0,0,0,0,0,1,0,紅色の印章。\n転生する時にセットすると 人形に紅の印が付く。
44,蒼の印,0,0,0,0,0,0,1,0,蒼色の印章。\n転生する時にセットすると 人形に蒼の印が付く。
45,黒の印,0,0,0,0,0,0,1,0,黒色の印章。\n転生する時にセットすると 人形に黒の印が付く。
46,白の印,0,0,0,0,0,0,1,0,白色の印章。\n転生する時にセットすると 人形に白の印が付く。
47,碧の印,0,0,0,0,0,0,1,0,碧色の印章。\n転生する時にセットすると 人形に碧の印が付く。
48,Item048,0,255,0,0,1,0,0,0,Item０４８。
49,透の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 全能力の個体ランクが変化しない。
50,金の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると ＨＰの個体ランクが変化しない。
51,紅の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 集弾の個体ランクが変化しない。
52,蒼の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 集防の個体ランクが変化しない。
53,黒の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 散弾の個体ランクが変化しない。
54,白の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 散防の個体ランクが変化しない。
55,碧の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 俊敏の個体ランクが変化しない。
56,虹の魔石,0,0,0,0,0,0,2,0,不思議な魔石。\n転生する時にセットすると 継承する個体ランクが増える。
57,Item057,0,255,0,0,1,0,0,0,Item０５７。
58,Item058,0,255,0,0,1,0,0,0,Item０５８。
